951162470,POINT(-111.6845122 40.2742935),Texas Roadhouse
951182163,POINT(-111.6901045 40.2738448),Noodles & Co.
951182166,POINT(-111.6898611 40.273836),Rumbi Island Grill
951182202,POINT(-111.6857292 40.2745113),Sizzler
951196079,POINT(-111.6853958 40.2723992),Outback Stake House
958983381,POINT(-111.7500147 40.3651929),Chubby's
959019660,POINT(-111.7748868 40.3709639),La Paretta
959019661,POINT(-111.7754903 40.3710744),Jim's
959058559,POINT(-111.8041577 40.3770818),Thai Village
959081359,POINT(-111.8143232 40.3771268),Rubio's
959081364,POINT(-111.8193899 40.3784467),Rodizio Grill
959137190,POINT(-111.7767043 40.3714967),Wingers
976027782,POINT(-111.6976201 40.2993068),Cafe Rio
976208625,POINT(-111.8188661 40.3784559),Pier 49 Pizza
977244963,POINT(-111.827118 40.3894997),Denny's
1030058212,POINT(-109.5708126 37.2817623),Comb Ridge Coffee
1030118460,POINT(-111.6667795 40.2638348),Zupas
1030118630,POINT(-111.6691716 40.2648834),Jimmy John's
1030120722,POINT(-111.6672909 40.2651724),Cybergate
1030120731,POINT(-111.6690753 40.2648182),Bamboo Hut
1030154429,POINT(-111.6659662 40.2655954),Docks Pizza Buffet
1030154431,POINT(-111.665121 40.2649818),Cafe Rio
1030154432,POINT(-111.6649191 40.2645039),Thai Mango
1058294011,POINT(-113.5218358 37.1249269),Pizza Hut
1058301503,POINT(-113.5233485 37.1249055),Ichiban
1074112643,POINT(-113.5324705 37.1234835),Pizza Factory
1076159583,POINT(-113.5329859 37.1231932),Costa Vida
1081524771,POINT(-113.5551541 37.1085908),Village Inn Restaurant
1083082810,POINT(-113.5556772 37.1121029),Durango's
1100855562,POINT(-111.8873539 40.4261892),Harvest Restaurant
1100855565,POINT(-111.8855142 40.4246381),Expedition Café
1103682450,POINT(-111.8143742 40.3765988),Zupas
1103682549,POINT(-111.6825704 40.2728572),Rubio's Fresh Mexican Grill
1103682748,POINT(-111.6605784 40.2560613),Magleby's
1103682813,POINT(-111.8142238 40.376596),Costa Vida
1103682846,POINT(-111.6664136 40.263095),The Pizza Factory
1103682935,POINT(-111.6771724 40.2733141),Good Wood
1120507937,POINT(-111.8476638 40.3877845),Emmett's & Ethel's
1120507948,POINT(-111.8495445 40.3880167),Porter's Place
1120507952,POINT(-111.8461333 40.3883607),Tokyo Japanise Stake House and  Sushi Bar
1120507973,POINT(-111.8509634 40.3877339),Domino's Pizza
1120507974,POINT(-111.9132561 40.3870118),Coffee Creations
1122706248,POINT(-111.780356 40.3716332),Little Caesar's
1122706250,POINT(-111.7809478 40.3717556),China Light Cafe
1122706266,POINT(-111.7807584 40.3716819),Ribb City Grill
1122706277,POINT(-111.7531095 40.3647086),Panda Express
1122706426,POINT(-111.7535009 40.3647347),Costa Vida
1122706461,POINT(-111.7847777 40.3741217),Beto's
1130578294,POINT(-113.5558884 37.1069961),The Orange Peal
1130578338,POINT(-113.5582761 37.1067385),La Frontera
1158427443,POINT(-111.5106561 40.6609202),Squatters Roadhouse Grill
1162811998,POINT(-111.9766672 41.1582519),Sarasota's
1183475941,POINT(-109.4739211 37.6262838),Patio
1183476217,POINT(-109.54503 40.45454),Taco Bell
1183476731,POINT(-109.4781133 37.6232693),Subway
1183477012,POINT(-110.7047026 38.3727718),Blondie's Burgers
1183477969,POINT(-109.5282684 40.5045177),Don Pedro's
1183478292,POINT(-111.40033 38.29938),Sandstone Inn and Restaurant
1183478749,POINT(-109.989227 40.2965157),Subway
1183479412,POINT(-109.9927406 40.2917448),Canton City
1183479613,POINT(-112.0820346 37.624127),Pizza Place
1183480022,POINT(-112.5259382 37.0410009),Pizza Hut
1201216874,POINT(-111.5086761 40.6603229),Mountain Grill
1201267201,POINT(-111.5100284 40.6150642),Empire Canyon Lodge
1203931079,POINT(-111.4956739 40.6431415),La Niche
1214409326,POINT(-112.0264587 41.1401977),Saigon Cafe
